X_Axis(um/deg),Y_Axis(um),Z_Altitude(um),Intensity(%)
3715.68,-9196.63,96.5764,100
3795.74,-9163.73,96.5769,100
3875.51,-9130.13,96.4263,100
3954.98,-9095.83,96.4703,100
4034.15,-9060.85,96.5358,100
4113.01,-9025.17,96.4983,100
4191.55,-8988.81,96.3797,100
4269.77,-8951.77,96.3718,100
4347.67,-8914.04,96.311,100
4425.23,-8875.64,96.194,100
4502.45,-8836.56,96.3254,100
4579.33,-8796.81,96.3004,100
4655.85,-8756.39,96.2108,100
4732.02,-8715.3,96.2854,100
4807.83,-8673.56,95.9825,100
4883.27,-8631.15,96.082,100
4958.33,-8588.09,96.0765,100
5033.02,-8544.37,96.0523,100
5107.32,-8500,95.9241,100
5181.23,-8454.99,95.8839,100
5254.74,-8409.34,95.9538,100
5327.85,-8363.05,95.9229,100
5400.55,-8316.12,95.8038,100
5472.84,-8268.56,95.803,100
5544.71,-8220.37,95.5475,100
5616.15,-8171.55,95.9029,72.8938
5687.17,-8122.12,96.225,100
5757.75,-8072.07,97.302,100
5827.89,-8021.4,97.5473,100
5897.59,-7970.13,97.6357,100
5966.83,-7918.25,97.4166,100
6035.62,-7865.77,97.3545,100
6103.94,-7812.69,97.2555,100
6171.8,-7759.02,97.098,100
6239.19,-7704.75,97.1206,100
6306.1,-7649.91,97.2093,100
6372.52,-7594.48,97.066,100
6438.47,-7538.47,97.0262,100
6503.91,-7481.9,96.9471,100
6568.87,-7424.75,96.8167,100
6633.31,-7367.04,97.1456,100
6697.26,-7308.77,97.0132,100
6760.69,-7249.95,96.9581,100
6823.6,-7190.58,96.8715,100
6885.99,-7130.66,96.8015,100
6947.86,-7070.19,96.7462,100
7009.2,-7009.2,96.6642,100
7070,-6947.67,96.8236,100
7130.26,-6885.61,96.664,100
7189.97,-6823.03,96.6192,100
7249.14,-6759.93,96.5804,100
7307.75,-6696.32,96.5761,100
7365.8,-6632.2,96.5774,100
7423.3,-6567.58,96.5392,100
7480.22,-6502.46,96.5555,100
7536.57,-6436.84,96.4558,100
7592.35,-6370.74,96.4445,100
7647.55,-6304.15,96.3623,100
7702.16,-6237.09,96.3875,100
7756.19,-6169.55,96.3063,100
7809.62,-6101.55,96.3404,100
7862.46,-6033.08,96.3445,100
7914.7,-5964.15,96.3409,100
7966.33,-5894.78,96.2451,100
8017.36,-5824.95,96.2093,100
8067.77,-5754.69,96.1358,100
8117.57,-5683.98,96.0629,100
8166.75,-5612.85,96.0785,100
8215.3,-5541.29,96.0909,100
8263.23,-5469.31,96.1202,100
8310.53,-5396.92,96.0306,100
8357.19,-5324.12,96.0184,100
8403.21,-5250.91,95.9805,100
8448.6,-5177.31,95.9733,100
8493.34,-5103.31,95.9606,100
8537.43,-5028.93,95.9698,100
8580.87,-4954.17,95.9366,100
8623.65,-4879.03,95.9399,100
8665.78,-4803.52,95.9152,100
8707.25,-4727.65,95.915,100
8748.05,-4651.42,95.9087,100
